source,title,content,link,label
Facebook,FACT CHECK: No online survey on abolishing K to 12 program,"The Department of Education (DepEd) is conducting an online survey on the K to 12 program, with 100,000 votes needed for the removal of Grades 11 and 12.",https://www.rappler.com/newsbreak/fact-check/no-online-survey-abolishing-k-12-september-2025/,fake
Facebook,"FACT CHECK: Post on P5,000 cash aid for national ID holders is fake",": All Filipinos with national identification cards will receive P5,000 cash assistance upon registration through a link provided in an online post.",https://www.rappler.com/newsbreak/fact-check/5000-cash-aid-national-id-holders-fake/,fake
Facebook,"FACT CHECK: Ex-president Duterte is alive, in ICC custody",": Former Philippine president Rodrigo Duterte has died, according to his longtime ally, Senator Christopher “Bong” Go.",https://www.rappler.com/newsbreak/fact-check/ex-president-rodrigo-duterte-alive-icc-custody/,fake
Facebook,FACT CHECK: No $45-million endorsement deal between Alex Eala and Wilson,Filipina tennis star Alexandra Eala has accepted a $45 million endorsement deal offered by American sports equipment manufacturer Wilson Sporting Goods.,https://www.rappler.com/newsbreak/fact-check/no-45-million-endorsement-deal-alex-eala-wilson/,fake
YouTube,"FACT CHECK: Tito Sotto still Senate president, not replaced by Alan Peter Cayetano",Senate President Vicente “Tito” Sotto III is set to be replaced by Senator Alan Peter Cayetano in another shake-up in the upper chamber’s leadership.,https://www.rappler.com/newsbreak/fact-check/tito-sotto-not-replaced-senate-president-alan-cayetano-september-2025/,fake
Facebook,FACT CHECK: Viral video of Sarah Discaya admitting stolen funds is AI-manipulated,Businesswoman and former Pasig City mayoral candidate Sarah Discaya admitted to pocketing funds meant for flood control projects while accusing public officials of being part of the system of corruption.,https://www.rappler.com/newsbreak/fact-check/viral-video-sarah-discaya-admitting-stolen-funds-ai-manipulated/,fake
Facebook,FACT CHECK: Video on mandatory house-to-house drug testing is fake,All Filipino citizens aged 10 years old and above are required to undergo drug tests conducted through house-to-house operations.,https://www.rappler.com/newsbreak/fact-check/fake-mandatory-house-to-house-drug-test-video-september-2025/,fake
Tiktok,FACT CHECK: Zaldy Co is alive,Ako Bicol Representative Zaldy Cohas died.,https://www.rappler.com/newsbreak/fact-check/zaldy-co-alive-september-2025/,fake
YouTube,FACT CHECK: Bong Go not set to be arrested over flood control projects,Senator Christopher “Bong” Go is set to be arrested over his involvement in controversial flood control projects.,https://www.rappler.com/newsbreak/fact-check/bong-go-not-to-be-arrested-over-flood-control-projects/,fake
Facebook,FACT CHECK: AI-generated videos about free housing for 4Ps beneficiaries contain fake links,The Department of Social Welfare and Development (DSWD) is offering free housing for beneficiaries of the Pantawid Pamilyang Pilipino Program (4Ps) who have registered through the links attached to the department’s posts.,https://www.rappler.com/newsbreak/fact-check/ai-generated-videos-free-housing-4ps-beneficiaries-fake-links-september-2025/,fake
Facebook,FACT CHECK: Fake DPWH job ads contain links to shopping sites,"The Department of Public Works and Highways (DPWH) is hiring, and interested applicants can use the link attached to the job post to submit their application.",https://www.rappler.com/newsbreak/fact-check/posts-dpwh-job-ads-fake-links-september-2025/,fake
Facebook,"FACT CHECK: ‘Ghost’ projects flagged during Duterte’s term, contrary to claim",: There were no “ghost” projects under the administration of former president Rodrigo Duterte because of the geotagging system implemented by the Department of Public Works and Highways (DPWH) in 2016.,https://www.rappler.com/newsbreak/fact-check/ghost-projects-flagged-during-rodrigo-duterte-administration/,fake
Unkown,FACT CHECK: Video of Legacy Construction owner at flood control hearing is AI-manipulated,A video shows Legacy Construction Corporation president Alex Abelido mentioning his wife during a Senate hearing into anomalous flood control projects.,https://www.rappler.com/newsbreak/fact-check/legacy-construction-owner-flood-control-hearing-video-ai-manipulated/,fake
Unkown,FACT CHECK: Viral video of Wawao Builders’ ‘ghost project’ statement is AI-manipulated,"Mark Allan Arevalo, president of Wawao Builders, said the following statement during a Senate hearing into “ghost” flood control projects:",https://www.rappler.com/newsbreak/fact-check/viral-video-wawao-builders-ghost-project-statement-ai-manipulated/,fake
Unkown,FACT CHECK: DOTr did not order shutdown of online shopping platforms,": The Department of Transportation (DOTr) will shut down online shopping platforms like Shopee, Lazada, and TikTok.",https://www.rappler.com/newsbreak/fact-check/dotr-order-shutdown-online-shopping-platforms/,fake
YouTube,FACT CHECK: No reports of cases filed against flood control ‘nepo babies’,"Amid the controversy over “ghost” flood control projects, the children of politicians and major flood control contractors are set to face lawsuits over their lavish lifestyles.",https://www.rappler.com/newsbreak/fact-check/no-reports-cases-filed-against-flood-control-nepo-babies/,fake
YouTube,"FACT CHECK: Duterte still detained, not granted interim release",The International Criminal Court (ICC) has grantedformer president Rodrigo Duterte’s request for interim release.,https://www.rappler.com/newsbreak/fact-check/rodrigo-duterte-still-detained-not-granted-icc-interim-release-september-2025/,fake
YouTube,FACT CHECK: Torre not the new justice secretary,Former Philippine National Police (PNP) chief Police General Nicolas Torre III has been appointed as the new secretary of the Department of Justice (DOJ).,https://www.rappler.com/newsbreak/fact-check/torre-not-the-new-justice-secretary/,fake
Facebook,FACT CHECK: Joel Villanueva did not resign as senator,Joel Villanueva has resigned as senator.,https://www.rappler.com/newsbreak/fact-check/joel-villanueva-did-not-resign-senator-august-2025/,fake
Facebook,FACT CHECK: ABS-CBN not returning to free TV,Media network ABS-CBN has regained its franchise and is set to return to free television.,https://www.rappler.com/newsbreak/fact-check/abs-cbn-not-returning-free-tv/,fake
Unkown,FACT CHECK: Post on September payout for Unconditional Cash Transfer program is fake,: The Department of Social Welfare and Development (DSWD) announced the September 2025 payout schedule for its Unconditional Cash Transfer (UCT) program.,https://www.rappler.com/newsbreak/fact-check/post-september-payout-unconditional-cash-transfer-fake/,fake
YouTube,FACT CHECK: No arrest warrant issued for Sarah Discaya,Businesswoman and defeated Pasig City mayoral candidate Sarah Discaya will be arrested over her involvement in allegedly anomalous flood control projects.,https://www.rappler.com/newsbreak/fact-check/no-arrest-warrant-issued-sarah-discaya/,fake
YouTube,FACT CHECK: Universal social pension for all senior citizens is not yet law,"The government has passed a law granting a universal social pension for all senior citizens, which will provide a monthly stipend of P6,000.",https://www.rappler.com/newsbreak/fact-check/universal-social-pension-all-senior-citizens-not-yet-law/,fake
YouTube,FACT CHECK: Trump not intervening to secure Duterte’s release from ICC,US President Donald Trump intervened in the International Criminal Court (ICC) proceedings againstformer Philippine president Rodrigo Duterteand pledged to have Duterte released from the court’s custody.,https://www.rappler.com/newsbreak/fact-check/trump-not-intervening-secure-rodrigo-duterte-release-icc/,fake
Facebook,FACT CHECK: Link to 4Ps September payout schedule is fake,The Department of Social Welfare and Development (DSWD) and Land Bank of the Philippines released a link to the September payout schedule for beneficiaries of the Pantawid Pamilyang Pilipino Program (4Ps).,https://www.rappler.com/newsbreak/fact-check/link-4ps-september-payout-schedule-fake/,fake
