source,title,content,link,label
inquirer,Marcos leads turnover of houses for Laguna informal settlers,"The photo shows the interior of a housing unit provided by the government to informal settlers in Laguna. President Ferdinand Marcos Jr. on Monday, Sept. 15. 2025, led the inauguration and turnover of the houses.. Photo from the MPC Pool. MANILA, Philippines — President Ferdinand Marcos Jr. on Monday led the inauguration and turnover of houses for informal settlers in Laguna, vowing inter-agency cooperation to deliver housing projects for those in need. During the event, 1,099 housing units were awarded to families displaced by the Philippine National Railways South Long Haul Project Segments 2 to 7 in St. Barts Southville Heights in Barangay San Bartolome, San Pablo City, Laguna. The photo shows the interior of a housing unit provided by the government to informal settlers in Laguna. President Ferdinand Marcos Jr. on Monday, Sept. 15. 2025, led the inauguration and turnover of the houses.. Photo from the MPC Pool. READ:Marcos orders gov’t agencies to reinstate LGU project acceptance process “Our dream and our work do not end with a single project,” Marcos said in Filipino. “That is why I expect all government agencies to work together on this project, to safeguard and maintain the quality of what we have built here in St. Barts and in the other housing projects we have begun,” he added. READ:Marcos names ex-SC Justice Andres Reyes Jr. as ICI chairperson President Ferdinand Marcos Jr. on Monday led the inauguration and turnover of houses for informal settlers in Laguna on Sept. 15, 2025. Photo from MPC Pool Marcos also said the government would not only provide shelter for the beneficiaries but also ensure they have access to essential facilities. “Our goal is to build a community with decent housing and complete facilities. With this system, we can provide a more comfortable, progressive, and convenient life for every family,” he said in Filipino. “This will include an elementary school building for your children. A multipurpose covered court will also be built for gatherings such as sports events and other activities. We will also establish a health center, day care center, tricycle terminal, and marketplace,” he added. President Ferdinand Marcos Jr. on Monday led the inauguration and turnover of houses for informal settlers in Laguna on Sept. 15, 2025. Photo from MPC Pool Funded through the Department of Transportation’s Trust Fund, the P769-million housing project broke ground in November 2023 and was completed in June 2025. Each unit stands on a 40.50-square-meter lot with a floor area of 27.35 square meters. Land development included concrete road networks with sidewalks, curbs, gutters, and an underground drainage system. The houses are also equipped with water and electricity connections./mcm Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2109256/marcos-leads-turnover-of-houses-for-laguna-informal-settlers,real
inquirer,"5 LTO employees nabbed for P200,000 extortion try in Nueva Vizcaya","Five employees of the Land Transportation Office (LTO)—Cagayan Valley regional office were arrested on Monday in an entrapment operation for allegedly attempting to extort P200,000 in exchange for the release of an impounded vehicle in Nueva Vizcaya. TUGUEGARAO CITY—Five employees of the Land Transportation Office (LTO)—Cagayan Valley regional office were arrested on Monday in an entrapment operation for allegedly attempting to extort P200,000 in exchange for the release of an impounded vehicle, according to authorities. Police said the operation took place at the Baldovi Terminal Compound on Sulacan Street in Barangay Banggot, Bambang, Nueva Vizcaya, according to a delayed police report released Tuesday. The suspects, identified by their aliases as Khain, 29; Abhel, 35; Hacob, 36; Munding, 39; and Totoy, 42, are all employees of LTO-Cagayan Valley. Authorities apprehended them while they were attempting to collect the marked extortion money, which had been set up in the entrapment operation. READ:4 Cotabato City cops face dismissal for extorting P300,000 from engineer Police Major Randy Velarde, chief of Bambang police, said the victims—whose identities are withheld for security reasons—provided affidavits to the Nueva Vizcaya Police Provincial Office. The victims said that they initially agreed to a P25,000 settlement, which later rose to P40,000 after the suspects demanded the full P200,000 for the van’s release. In addition to the marked bills, authorities seized P40,000 in cash, a .45-caliber handgun, a Glock 9mm pistol, ammunition, a sachet of suspected shabu, and other personal items from the suspects. The men are currently in police custody, with charges for robbery-extortion, illegal possession of firearms, and violations of the anti-drug law being prepared against them./coa Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2103543/5-lto-employees-nabbed-for-p200000-extortion-try-in-nueva-vizcaya,real
inquirer,Davao coastline ‘calm’ despite tsunami warning from Russia quake,"Davao City’s coastline status as of Wednesday, July 30, at 12:52 p.m. (Photo from Davao City Disaster Risk Reduction and Management Office/Facebook) MANILA, Philippines — The coastline of Davao City was reported to be experiencing “calm to slight seas and ongoing low tide” on Wednesday afternoon following a powerful 8.7 magnitude earthquake that struck the east coast of Kamchatka in Russia. This coastal monitoring update was issued by the Davao City Disaster Risk Reduction and Management Office (CDRRMO) as of 12:52 p.m. The CDRRMO said that low tide (0.11 meters or 0.36 feet) is expected at 2:56 p.m. while high tide (1.46 meters or 4.79 feet) is expected at 9:12 p.m. READ:Phivolcs issues tsunami warning following powerful quake in Russia Earlier, the Philippine Institute of Volcanology and Seismology issued a warning advising residents in the following areas to stay away from the beaches and not go to the coast: READ:Several LGUs urged: Evacuate shoreline after magnitude 8.7 Russia quake The Phivolcs also said that coastal areas in the Philippines facing the Pacific Ocean may experience wave heights of less than one meter between 1:20 p.m. and 2:40 p.m. As a result, classes in several areas are suspended on Wednesday: Davao del Sur Davao Oriental Quezon Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy. Southern Leyte",https://newsinfo.inquirer.net/2089369/davao-coastline-calm-despite-tsunami-warning-from-russia-quake,real
inquirer,"Negros Occidental hospitals on ‘Code White’ due to rains, flooding","Hospitals and other health facilities across Negros Occidental have been placed on “Code White” or heightened alert due to heavy rains and widespread flooding. INQUIRER FILES BACOLOD CITY, Negros Occidental — Hospitals and other health facilities across Negros Occidental have been placed on “Code White,” or heightened alert, due to heavy rainfall and widespread flooding. Dr. Girlie Pinongan, Negros Occidental provincial health officer, said that all health facilities provincewide have been on heightened alert since Thursday, as rain showers brought on by the southwest monsoon and Tropical Depression “Crising” are expected to persist until today, Friday. READ:TD Crising, habagat to bring heavy rains until Sunday – Pagasa Pinongan urged residents in flood-prone areas to evacuate to higher ground. She also advised anyone exposed to floodwaters to visit health centers to receive doxycycline, a prophylactic treatment for leptospirosis. Residents were reminded to take precautions against waterborne diseases, Pinongan added. “It is best to boil drinking water to avoid illnesses caused by flooding contamination,” she stressed. Pinongan explained that diseases such as typhoid fever, cholera, and leptospirosis are directly linked to water contamination, which is a major risk factor during flooding. She also noted that the incidence of vector-borne diseases such as malaria, dengue, and yellow fever increases due to standing water, which serves as breeding sites for mosquitoes./coa Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2083735/negros-occidental-hospitals-on-code-white-due-to-rains-flooding,real
inquirer,No more shoes-off  rule in US airports,"UNITED STATES — For the first time in almost 20 years, travelers may no longer be required to take off their shoes during security screenings at certain US airports. The Transportation Security Administration (TSA) is looking to abandon the additional security step that has for years bedeviled anyone passing through US airports, according to media reports. If implemented, it would put an end to a security screening mandate put in place almost 20 years ago, several years after “shoe bomber” Richard Reid’s failed attempt to take down a flight from Paris to Miami in late 2001. The travel newsletter Gate Access was the first to report that the security screening change is coming. ABC News reported on an internal memo sent to TSA officers last week that states the new policy lets travelers keep their shoes on during screenings at many US airports beginning this Sunday. The plan is for the change to occur at all US airports soon, the memo said. Travelers were able to skirt extra security requirements if they were part of the TSA PreCheck program, which costs around $80 for five years. The program allows airline passengers to get through the screening process without removing shoes, belts, or light jackets. The TSA has not officially confirmed the reported security screening change yet. “TSA and DHS are always exploring new and innovative ways to enhance passenger experience and our strong security posture,” a TSA spokesperson said in a statement on Tuesday. “Any potential updates to our security process will be issued through official channels.” The TSA began in 2001 when President George W. Bush signed legislation for its creation two months after the 9/11 attacks. The agency included federal airport screeners that replaced the private companies airlines had used to handle security. Over the years, the TSA has continued to look for ways to enhance its security measures, including testing facial recognition technology and implementing Real ID requirements.—AP Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2080410/no-more-shoes-off-rule-in-us-airports,real
inquirer,Marcos cheers for Alex Eala: `The whole Philippines is behind you’,"President Ferdinand Marcos Jr. is rooting for Filipino tennis hotshot Alex Eala. Screengrab from Bongbong Marcos/Facebook MANILA, Philippines – President Ferdinand Marcos Jr. has expressed his support for Alex Eala, who will be playing for the title in the WTA Tour on Saturday evening (Manila time). In an X post on Saturday, Marcos said he “can’t wait to watch [Eala] make history in the Philippines’ first-ever WTA Finals.” READ:LIVE: Alex Eala at Eastbourne Open final vs Maya Joint “We’re already so proud, Alex. Just play your game and enjoy every moment. The whole Philippines is behind you,” the president said. “LABAN! 💪🔥 (Fight!),” he added. Eala is set to battle with Australia’s Maya Joint for the Eastbourne Open title at 8:30 p.m. on Saturday (Manila time.) The Filipino tennis star has advanced to the championship round of the Lexus Eastbourne Open after she won over France’s Varvara Gracheva on Friday. /mr Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2075901/marcos-cheers-for-alex-eala-the-whole-philippines-is-behind-you,real
inquirer,Why there’s no one-size-fits-all solution to finding happiness,"Getty Images© What’s the secret tohappiness? Does it come from within, or does it rely on external influences such as jobs, health and relationships? A North American study, recently published in the journal Nature Human Behaviour, challenges a number of preconceived ideas. In recent years, happiness has become a serious subject of study. Psychologists, economists and sociologists have joined forces to unravel the inner workings of human fulfillment. With this in mind, researchers from several North American universities have analyzed the lives of over 40,000 people in five countries. Over a period of almost 30 years, they examined their level of general satisfaction, as well as their relationship to five essential dimensions of existence: health, income, housing, work, and relationships. It turns out that there isn’t just one way, but a multitude of ways to be happy, specific to each individual and each context. For some, happiness is based on tangible criteria such as income, employment or housing. For others, it depends on personal traits such as resilience or the search for meaning. Some combine these two dimensions, while a minority seem to deviate from any pre-established model. These findings call into question the two main theoretical models that have dominated until now. The first, termed “bottom-up,” assumes that happiness derives from satisfaction in the various areas of life. The second, called “top-down,” argues that certain personal dispositions, such as optimism or emotional stability, influence our perception of happiness independently of external circumstances. This study proposes a third, more flexible path, closer to reality, with a “bidirectional model,” in which internal and external factors are intertwined. “These things are treated separately, but they aren’t really. They feed into each other at a personal level,” explains Emorie Beck, assistant professor of psychology at the University of California, Davis and first author on the paper, quoted in a news release. To promote well-being, public policies should be designed to take account of this diversity, rather than relying on universal approaches. “We have to understand the sources of happiness to build effective interventions,” says Emorie Beck. In other words, raising a society’s level of happiness means taking each individual’s needs into account. The same policy can transform the lives of some, while making no difference to others. This study serves as a reminder that there’s no magic formula for happiness. It is complex, specific to each individual, and sometimes even elusive. But one thing seems certain: to better understand it, we need to stop thinking of it as a universal standard, and start thinking of it in terms of the individual. Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2057951/why-theres-no-one-size-fits-all-solution-to-finding-happiness,real
inquirer,More than 9 million TikTok videos in PH taken down over violations,"Logo of TikTok. Chiba / AFP) MANILA, Philippines — More than nine million TikTok videos in the country were taken down in the second half of 2024 due to community guideline violations. During that year, TikTok said it removed 4.5 million videos from July to September and 4.85 million videos from October to December. READ:TikTok removes 4 to 5 million videos in PH over community guideline violations About 99 percent of these videos were removed “proactively”, TikTok said in a statement sent to INQUIRER.net. “Similar to our global policy distribution, the majority of content was removed for violating our policies around sensitive and mature themes and regulated goods and commercial activities,” according to TikTok. TikTok said it uses a combination of technology, human moderation, and community reports to remove content that violates its community guidelines. Repeated offenders risk the permanent removal of their accounts. TikTok boasts over 49 million active users in the country. READ:To be or not to be on TikTok Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy.",https://newsinfo.inquirer.net/2050664/more-than-9-million-tiktok-videos-in-ph-taken-down-over-violations,real
inquirer,No reason for Senate to share Duterte findings with US — Palace,"Sen. Ronald `Bato’ Dela Rosa. (Voltaire F. Domingo/Senate PRIB) MANILA, Philippines—There’s no reason for the Senate Committee on Foreign Relations to share its findings with United States President Donald Trump, a Palace official said. That’s because the US “respects” the Philippines’ prerogative regarding the arrest and surrender of former President Rodrigo Duterte. But Sen. Ronald “Bato” dela Rosa made a suggestion otherwise, believing it is appropriate for the panel to forward its findings to Trump so that the assets of the aircraft owner that brought Duterte to the Netherlands can be frozen. READ:Dela Rosa wants sanctions against the owner of jet that flew ex-Pres Duterte Dela Rosa said this was in accordance with an executive order (EO) recently signed by Trump, stating that any non-American person or organization can face sanctions if they assist the International Criminal Court (ICC) in investigating, arresting, or prosecuting a “protected person” without the consent of their country of origin. A “protected person” refers to a U.S. national or military personnel or any individual who is a lawful resident of a U.S. NATO ally or a “major non-NATO ally,” a designation the Philippines holds. But during Monday’s briefing, Castro rejected dela Rosa’s suggestion by citing a portion of the same EO that the senator was referring to: “The United States remains committed to the accountability and to the peaceful cultivation of international order at the ICC. And the parties to the Rome Statute must expect the decisions of the United States and other countries not to subject their personnel to the ICC’s jurisdiction consistent with their respective sovereign prerogatives.” Castro explained in a mixture of Filipino and English, “So, this means that through this executive order, the United States respects the prerogatives of countries that are considered its allies. Therefore, whatever prerogative our country exercises, the U.S. will respect it.” (READ:Dela Rosa hits Marcos’ ‘betrayal to the max’ after Duterte’s arrest Castro, in a briefing on March 14, confirmed that the Office of the President paid for the chartered plane that brought Duterte to ICC headquarters in The Hague, Netherlands. She said this was part of the administration’s commitment to comply with the International Criminal Police Organization. This was not the first time that Dela Rosa criticized the Marcos administration over Duterte’s arrest. The senator had previously accused President Ferdinand Marcos Jr. of breaking his promise not to cooperate with the ICC on Duterte’s case. “He told me before: ‘Don’t worry, I will never cooperate with the ICC because after you, who’s next? It might be us.’ That’s what he told me,” dela Rosa told reporters in Filipino in a phone patch interview with Senate reporters. Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy. This allegation was shrugged off by Castro, pointing out that dela Rosa could easily defend himself before the ICC if he is indeed innocent.",https://newsinfo.inquirer.net/2050630/sen-bato-wants-findings-shared-with-us-to-freeze-jet-owners-assets,real
inquirer,Brice Hernandez appears to ‘backpedal’ in his flood control charges,"Former DPWH-Bulacan Assistant District Engineer Brice Hernandez speaks at the Senate Blue Ribbon Committee hearing on alleged anomalous flood control projects at the Senate Session Hall in Pasay City on Monday, September 8, 2025. (INQUIRER photo / NIÑO JESUS ORBETA) MANILA, Philippines — Former Public Works and Highways District Engineer Brice Hernandez appeared to have backpedaled in his accusations against Sen. Jinggoy Estrada. At the continuation of the Senate panel on blue ribbon’s probe into anomalous flood control projects held Thursday, Sen. Rodante Marcoleta recalled how Hernandez strongly implicated Estrada in the anomalous flood control mess. “When you testified in the House, you strongly claimed that Ms. Mina was delivering money to a proponent and you mentioned Sen. Jinggoy, right?” asked Marcoleta. Marcoleta was pertaining to Mina Jose of WJ Construction, which Hernandez earlier claimed to have “delivered flood control kickbacks” in the Senate. But Hernandez said he did not categorically say that Mina was delivering kickback to Estrada, but only to a certain “proponent.” “He was linked because I was told that Ma’am Mina or Ma’am Beng is a staff of Sen. Jinggoy, but I did not specifically say that the proponent is for Sen. Jinggoy,” said Hernandez. Marcoleta once again asked if it’s clear that a certain Mina or Beng Ramos is to deliver “kickbacks,” to which Hernandez said yes. “Now you’re saying that it’s notSen. Jinggoy,” said Marcoleta. “Specifically, it’s really not Sen. Jinggoy,” said Hernandez. Asked to whom the kickback would be delivered, Hernandez said he was told by his boss — former Public Works and Highways District Engineer Henry Alcantara — that it was just a proponent. “I am blind with regards to who the proponent is,” said Hernandez. Estrada then interjected, hitting Hernandez for categorically identifying him in the lower chamber’sflood control probe. “He’s blind as to whom the proponent is, but when he testified in the House, you implicated me and Sen. Joel Villanueva. And you told Congressman Ridon… Sorry. Excuse me. Before proceeding, can we state for the record again who is Beng Ramos? You said she is the staff of Sen. Jinggoy Estrada. Ridon said ‘staff,’ and you answered yes,” said Estrada. With this, Estrada clarified that he never had a personnel with the name Beng Ramos. Subscribe to our daily newsletter By providing an email address. I agree to theTerms of Useand acknowledge that I have read thePrivacy Policy. Hernandez, meanwhile, claimed that he was only told by Alcantara that Ramos is the senator’s employee — disclosure which was denied by Alcantara himself. “I don’t know who this Mina is as well as Beng Ramos. What I know is that when I asked, I discovered that it was them who know each other because they are from Santa Maria. I don’t personally know them. Everytime he’s being asked, he’s pointing fingers at me,” said Alcantara. /apl",https://newsinfo.inquirer.net/2111173/brice-hernandez-appears-to-backpedal-in-his-flood-control-charges,real
