source,title,content,link,label
GMA NEWS,"Who is Tyler Robinson, the suspect in Charlie Kirk's murder?","OREM, Utah - The suspect inCharlie Kirk's shooting, Tyler Robinson, is a 22-year-old Utah native who authorities say had allegedly criticized the conservative influencer in a recent conversation and was living with his family at the time of the shooting. Robinsonwas arrested late on Thursday after a family friend called authorities, officials said on Friday. Investigators have not publicly identified a motive. Utah Governor Spencer Cox told reporters that a family member interviewed by law enforcement said Robinson had recently mentioned Kirk’s appearance at Utah Valley University, where he was shot on Tuesday. ""They talked about why they didn't like him and the viewpoints he had,"" Cox said. Robinson had also become more political in recent years, the family member told investigators, and authorities said he had engraved what appeared to be anti-fascist messages on bullet casings they found with the suspected murder weapon. Robinson, who was arrested for aggravated murder and other charges, has no criminal history, according to state records reviewed by Reuters. He was a registered voter but was not affiliated with a political party, according to voter records. He is listed as an “inactive” voter, which indicates he did not cast a ballot in last year's presidential election, when Republican Donald Trump defeated Democrat Kamala Harris. Need a wellness break? Sign up for The Boost! Stay up-to-date with the latest health and wellness reads. Please enter a valid email address Your email is safe with us Robinson graduated in 2021 from Pine View High School in St. George, Utah. A video online of the commencement ceremony shows him carrying his diploma on stage as attendees cheer. He briefly attended Utah State University in Logan for one semester that fall, the school confirmed to Reuters. It was not immediately clear why he left the college. In a video posted by his mother on Facebook, Robinson can be seen reading aloud from a letter offering him a four-year scholarship from Utah State University, as she cheered. Another post said Robinson had earned a score of 34 on the ACT college entrance exam, which would put him in the top 1% of test takers, according to the Princeton Review test preparation company. At the time of his arrest, he was living at his family’s home in Washington County, in the southwest corner of Utah near the Nevada border, Cox said. He has two younger brothers, according to his parents’ Facebook posts. His mother is a social worker at a non-profit healthcare company, while his father’s occupation was not immediately clear. Facebook posts show doting mother His mother’s Facebook posts over the years – most of which were deleted on Friday – mostly doted on her family: documenting trips to Alaska, the Caribbean and Disneyland; celebrating school plays, Halloween costumes and adopted pet rabbits; expressing pride as the three boys moved up in school. None of the posts appeared political in any way. Other posts show Robinson and his brothers occasionally with guns, though that is not uncommon in a state with permissive firearms laws. “Driving away without him was one of the most difficult things I’ve had to do in a long time,” his mother wrote in one post about helping him move to college in 2021. “He’s so excited to start his journey and it’s going to be so amazing for him!” On Thursday evening, Cox said, a family member called a family friend who in turn called the Washington County’s Sheriff’s Office “with information that Robinson had confessed to them or implied that he had committed the incident.” Robinson’s roommate also showed messages Robinson had sent via the Discord platform describing leaving a rifle in a bush wrapped in a towel – matching the weapon that authorities recovered in a wooded area near the scene of the shooting. Robinson was booked into the Utah County jail in Spanish Fork, about 12 miles (19 km) south of the university where Kirk was shot. He has not yet been formally charged. —Reuters",https://www.gmanetwork.com/news/topstories/world/958996/who-is-tyler-robinson-the-suspect-in-charlie-kirk-s-murder/story/,real
GMA NEWS,"Putin's demand to Ukraine: Give up Donbas, no NATO and no Western troops —sources","MOSCOW —Vladimir Putin is demanding that Ukraine give up all of the eastern Donbas region, renounce ambitions to join NATO, remain neutral and keep Western troops out of the country, three sources familiar with top-level Kremlin thinking told Reuters. The Russian president met Donald Trump in Alaska on Friday for the first Russia-U.S. summit in more than four years and spent almost all of their three-hour closed meeting discussing what a compromise on Ukraine might look like, according to the sources who requested anonymity to discuss sensitive matters. Speaking afterwards beside Trump, Putin said the meeting would hopefully open up the road to peace in Ukraine - but neither leader gave specifics about what they discussed. In the most detailed Russian-based reporting to date on Putin's offer at the summit, Reuters was able to outline the contours of what the Kremlin would like to see in a possible peace deal to end a war that has killed and injured hundreds of thousands of people. In essence, the Russian sources said, Putin has compromised on territorial demands he laid out in June 2024, which required Kyiv to cede the entirety of the four provinces Moscow claims as part of Russia: Dontesk and Luhansk in eastern Ukraine - which make up the Donbas - plus Kherson and Zaporizhzhia in the south. Kyiv rejected those terms as tantamount to surrender. In his new proposal, the Russian president has stuck to his demand that Ukraine completely withdraw from the parts of the Donbas it still controls, according to the three sources. In return, though, Moscow would halt the current front lines in Zaporizhzhia and Kherson, they added. Need a wellness break? Sign up for The Boost! Stay up-to-date with the latest health and wellness reads. Please enter a valid email address Your email is safe with us Russia controls about 88% of the Donbas and 73% of Zaporizhzhia and Kherson, according to U.S. estimates and open-source data. Moscow is also willing to hand over the small parts of the Kharkiv, Sumy, and Dnipropetrovsk regions of Ukraine it controls as part of a possible deal, the sources said. Putin is sticking, too, to his previous demands that Ukraine give up its NATO ambitions and for a legally binding pledge from the U.S.-led military alliance that it will not expand further eastwards, as well as for limits on the Ukrainian army and an agreement that no Western troops will be deployed on the ground in Ukraine as part of a peacekeeping force, the sources said. Yet the two sides remain far apart, more than three years after Putin ordered thousands of Russian troops into Ukraine in a full-scale invasion that followed the annexation of the Crimean peninsula in 2014 and prolonged fighting in the country's east between Russian-backed separatists and Ukrainian troops. Ukraine's foreign ministry had no immediate comment on the proposals. President Volodymyr Zelenskiy has repeatedly dismissed the idea of withdrawing from internationally recognised Ukrainian land as part of a deal, and has said the industrial Donbas region serves as a fortress holding back Russian advances deeper into Ukraine. ""If we're talking about simply withdrawing from the east, we cannot do that,"" he told reporters in comments released by Kyiv on Thursday. ""It is a matter of our country's survival, involving the strongest defensive lines."" Joining NATO, meanwhile, is a strategic objective enshrined in the country's constitution and one which Kyiv sees as its most reliable security guarantee. Zelenskiy said it was not up to Russia to decide on the alliance's membership. The White House and NATO didn't immediately respond to requests for comment on the Russian proposals. Political scientist Samuel Charap, chair in Russia and Eurasia Policy at RAND, a U.S.-based global policy think-tank, said any requirement for Ukraine to withdraw from the Donbas remained a non-starter for Kyiv, both politically and strategically. ""Openness to 'peace' on terms categorically unacceptable to the other side could be more of a performance for Trump than a sign of a true willingness to compromise,"" he added. ""The only way to test that proposition is to begin a serious process at the working level to hash out those details."" Trump: Putin wants to see it end Russian forces currently control a fifth of Ukraine, an area about the size of the American state of Ohio, according to U.S. estimates and open-source maps. The three sources close to the Kremlin said the summit in the Alaskan city of Anchorage had ushered in the best chance for peace since the war began because there had been specific discussions about Russia's terms and Putin had shown a willingness to give ground. ""Putin is ready for peace - for compromise. That is the message that was conveyed to Trump,"" one of the people said. The sources cautioned that it was unclear to Moscow whether Ukraine would be prepared to cede the remains of the Donbas, and that if it did not then the war would continue. Also unclear was whether or not the United States would give any recognition to Russian-held Ukrainian territory, they added. A fourth source said that though economic issues were secondary for Putin, he understood the economic vulnerability of Russia and the scale of the effort needed to go far further into Ukraine. Trump has said he wants to end the ""bloodbath"" of the war and be remembered as a ""peacemaker president"". He said on Monday he had begun arranging a meeting between the Russian and Ukrainian leaders, to be followed by a trilateral summit with the U.S. president. ""I believe Vladimir Putin wants to see it ended,"" Trump said beside Zelenskiy in the Oval office. ""I feel confident we are going to get it solved."" Russian Foreign Minister Sergei Lavrov said on Thursday that Putin was prepared to meet Zelenskiy but that all issues had to be worked through first and there was a question about Zelenskiy's authority to sign a peace deal. Putin has repeatedly raised doubts about Zelenskiy's legitimacy as his term in office was due to expire in May 2024 but the war means no new presidential election has yet been held. Kyiv says Zelenskiy remains the legitimate president. The leaders of Britain, France and Germany have said they are sceptical that Putin wants to end the war. Security guarantees for Ukraine Trump's special envoy Steve Witkoff was instrumental in paving the way for the summit, and the latest drive for peace, according to two of the Russian sources. Witkoff met Putin in the Kremlin on August 6 with Kremlin aide Yuri Ushakov. At the meeting, Putin conveyed clearly to Witkoff that he was ready to compromise and set out the contours of what he could accept for peace, according to two Russian sources. If Russia and Ukraine could reach an agreement, then there are various options for a formal deal - including a possible three-way Russia-Ukraine-U.S. deal that is recognised by the U.N. Security Council, one of the sources said. Another option is to go back to the failed 2022 Istanbul agreements, where Russia and Ukraine discussed Ukraine's permanent neutrality in return for security guarantees from the five permanent members of the U.N. Security Council: Britain, China, France, Russia and the United States, the sources added. ""There are two choices: war or peace, and if there is no peace, then there is more war,"" one of the people said.—Reuters",https://www.gmanetwork.com/news/topstories/world/956629/putin-s-demand-to-ukraine-give-up-donbas-no-nato-and-no-western-troops-sources/story/,real
GMA NEWS,Rubio says US stands with PH against China's plan in Scarborough Shoal,"Secretary of State Marco Rubio on Friday said the US stood with the Philippines and rejected what he described as China's ""destabilizing plans"" involving Scarborough Shoal. ""Beijing claiming Scarborough Reef as a nature preserve is yet another coercive attempt to advance sweeping territorial and maritime claims in the South China Sea at the expense of its neighbors,""Rubiosaid in a statement. China's plan to establish anature reserve in the Scarborough Shoalhas raised fear among Filipino fishermen, who fear that it could make it harder for them to operate in the disputed South China Sea atoll, which is under the constant watch of Chinese vessels. The shoal lies within the Philippines' exclusive economic zone but has been under Beijing's control since 2012. Rubio said China's actions continued to undermine regional stability and called on Beijing to abide by the 2016 Arbitral Tribunal's unanimous decision that China had unlawfully prevented Filipino fishermen from engaging in traditional fishing at Scarborough Reef. Eduardo Año, President Ferdinand Marcos Jr.'s national security adviser, criticized China's plan, saying it was a ""clear pretext towards eventual occupation."" ""This move by the PRC [People's Republic of China] is less about protecting the environment and more about justifying its control over a maritime feature that is part of the territory of the Philippines and its waters lie within the exclusive economic zone of the Philippines,"" Año said. A formal diplomatic protest will be filed ""against this illegitimate and unlawful action by China as it clearly infringes upon the rights and interests of the Philippines in accordance with international law,"" the Department of Foreign Affairs said. —Reuters/VBL, GMA Integrated News",https://www.gmanetwork.com/news/topstories/nation/958998/us-ph-china-scarborough-shoal/story/,real
GMA NEWS,"Alex Eala, ‘di umubra kay Janice Tjen sa quarterfinals ng SP Open sa Brazil","Nabigong umusad sa susunod na round si Alex Eala matapos matalo sa Indonesian na si Janice Tjen, sa iskor na 6-4, 6-1, sa quarterfinals ng SP Open sa São Paulo, Brazil, Sabado ng madaling araw (oras sa Pilipinas). Sa naturang pagkatalo, natapos ang pitong sunod na panalo ni Eala, na nagsimula nang makuha niya ang kampeonato sa Guadalajara 125 Open sa Mexico. Naging dikit ang simula ng laban nila ni Tjen hanggang sa makagawa ng mga error si Eala at hindi naisalin sa puntos ang mga break points upang makuha ng pambato ng Indonesia ang momentum ng laro. Sa ikalawang set, dominado ni Tjen ang baseline at naging agresibo sa pagsagot sa mga palo ng Pinay ace player. Bumaba rin ang first-serve percentage ni Eala na naging daan upag mabilis na makuha ni Tjen ang ikalawang set. Alex Eala, panalo kay Julia Riera sa SP Open sa Brazil; lusot na sa quarterfinals ICC prosecution, nais na masuri ng sariling medical expert ang kalusugan ni Duterte Negosyanteng kinidnap, nasagip matapos dalhin ng mga suspek sa bangko para mag-withdraw Alex Eala at the Guadalajara 125 Open1 of 6Photo: Guadalajara Open/Alex Eala/IGAlex Eala vs Clara Tauson at the 2025 US Open2 of 6Tennis - U.S. Open - Flushing Meadows, New York, United States - August 24, 2025 Philippines' Alexandra Eala in action during her first round match against Denmark's Clara Tauson REUTERS/Jeenah MoonAlex Eala at the 2025 Wimbledon Championships3 of 6Tennis - Wimbledon - July 1, 2025 Philippines' Alexandra Eala reacts during her first round match against Czech Republic's Barbora Krejcikova Photo: REUTERS/Toby MelvilleADVERTISEMENTAlex Eala vs Maya Joint at the Eastbourne Open Finals4 of 6Tennis - Eastbourne Open - June 28, 2025 Philippines' Alexandra Eala reacts during her women's singles final against Australia's Maya Joint Action Images via Reuters/Paul ChildsAlex Eala vs Iga Swiatek at the Madrid Open5 of 6Tennis - Madrid Open - Park Manzanares, Madrid, Spain - April 24, 2025 Philippines' Alex Eala reacts during her round of 64 match against Poland's Iga Swiatek REUTERS/Juan MedinaAlex Eala vs Jessica Pegula at the Miami Open semis6 of 6Mar 27, 2025; Alex Eala waves to fans while leaving the court after her match against Jessica Pegula in a women's singles semifinal of the Miami Open. (Photo: Geoff Burke-Imagn Images/REUTERS)ADVERTISEMENTRELATED GALLERIESAlex Eala at the 2025...Miami OpenAlex Eala vs Iga...Swiatek 2025 Miami Open QuarterfinalsAlex Eala and Maya...Joint at the Eastbourne OpenAlex Eala vs Maya Joint...at the Eastbourne Open finals –FRJGMA Integrated News",https://www.gmanetwork.com/news/balitambayan/balita/958995/alex-eala-di-umubra-kay-janice-tjen-sa-quarterfinals-ng-sp-open-sa-brazil/story/,real
GMA NEWS,"Lalaki, patay matapos makipagbarilan sa 3 suspek sa Bulacan","Patay ang isang lalaki matapos na makipagbarilan sa tatlong suspek sa San Jose Del Monte, Bulacan. Ang isa sa mga suspek, sugatan na itinakas ng mga kasamahan niya. Sa ulat ni Jamie Santos sa GMA News Saksi nitong Biyernes, makikita sa CCTV camera sa Barangay Graceville, na nakatumba ang biktima sa tabi ng kaniyang motorsiklo. Pilit niyang tinatangka na tumayo habang ipinuputok ang hawak na baril. Nasa tabi naman niya ang isa pang nakatumbang motorsiklo at nakahiga rin ang isang suspek. Pero maya-maya lang, dumating ang iba pang kasamahan ng suspek at pinagbabaril nang malapitan ang biktima. Pinagtulungan ng mga suspek na isakay sa motorsiklo ang sugatan nilang kasama bago tumakas. Ayon sa pulisya, kinuha rin ng mga suspek ang baril ng biktima. Tinutugis na ng mga pulis ang mga suspek, at iniimbestigahan ang motibo sa krimen. Samantala, patay din sa pamamaril ang 70-anyos na opisyal ng isang homeowners association sa isang subdibisyon sa Antipolo, Rizal. Tricycle driver, patay sa pamamaril ng riding-in-tandem sa Sorsogon; 1, sugatan 48-anyos na amain, patay nang 21 beses saksakin ng live-in-partner ng kaniyang stepdaughter 9-anyos na babae, patay nang mahulog sa kanal at tangayin ng rumaragasang baha sa Iligan City Nagpapahangin ng gulong ng tricycle ang biktima sa isang vulcanizing shop nang lapitan siya ng dalawang salarin at pinagbabaril. Hinahanap na rin ng pulisya ang mga tumakas na salarin na nakasakay sa motorsiklo. Blangko naman ang pamilya ng biktima sa motibo sa krimen at wala silang alam na kaaway nito. Patuloy pa ang imbestigasyon ng mga awtoridad.—FRJGMA Integrated News",https://www.gmanetwork.com/news/balitambayan/promdi/958993/lalaki-patay-matapos-makipagbarilan-sa-3-suspek-sa-bulacan/story/,real
GMA NEWS,"22-anyos na suspek sa pagpatay kay Charlie Kirk sa Utah, USA, nadakip na","Naaresto na ang isang 22-anyos na lalaki sa Utah, USA na suspek sa pagbaril at pagpatay sa conservative activist na si Charlie Kirk, ayon kay Governor Spencer Cox nitong Biyernes. Inasinta si Kirk ng suspek mula sa malayong distansiya habang nagsasagawa ng forum ang biktima sa harap ng maraming tao sa isang unibersidad. ""We got him,"" sabi ni Cox sa mga mamamahayag, halos dalawang araw matapos ang asasinasyon kay Kirk, 31-anyos. Kinilala ang suspek na si Tyler Robinson, na umamin umano o ipinahiwatig sa kaibigan ng pamilya ang ginawang krimen. Ang naturang kaibigan ng pamilya ang nakipag-ugnayan sa Washington County sheriff's office nitong Huwebes na naging daan sa pagkakaaresto sa suspek. Ayon pa kay Cox, may kapamilyang nagsabi sa mga imbestigador na naging mas politikal ang suspek nitong mga nakaraang buwan at madalas magsalita nang masama tungkol kay Kirk. Naaresto si Robinson nitong Huwebes ng gabi, humigit-kumulang 33 oras matapos ang insidente, ayon kay FBI Director Kash Patel, sa isang press conference. Si Kirk, kilalang kaalyado ni Pangulong Donald Trump, ay Binaril si Kirk, kilalang kaalyado ni Pangulong Donald Trump, habang nagsasalita sa entablado ng isang outdoor amphitheater sa Utah Valley University noong Miyerkules. Tinawag ni Trump ang pamamaril na isang “heinous assassination."" Matapos ang pamamaril, sinabi ng mga imbestigador na narekober nila ang isang bolt-action rifle na pinaniniwalaang ginamit sa pagpatay kay Kirk. Kasunod nito ay inilabas ng mga awtoridad ang mga CCTV image ng “person of interest” at humingi ng tulong mula sa publiko para matukoy kung sino ang nasa larawan. Kinausap ng mga imbestigador ang roommate ni Robinson, na nagpakita ng mga komento ni Robinson sa Discord — isang platform para sa chat at gaming. Napag-usapan doon ang pagkuha niya sa rifle mula sa drop point at pagtatago nito na binalutan ng tuwalya sa mga puno, na tumugma sa narekober na armas malapit sa campus. Ayon pa kay Cox, ang mga bala na narekober sa lugar ng krimen ay may mga mensaheng nakaukit na: ""Oh, Bella Ciao, Bella Ciao, Bella Ciao, Ciao""; ""If you read this, you are gay, LMAO""; at ""Hey fascist, catch!"" Ipinapaubaya na ni Cox sa publiko sa ngayon kung paano nila bibigyan ng kahulugan ang naturang mga mensahe. Nagtungo si Kirk, na co-founder at president ng conservative student group na Turning Point USA, sa Utah Valley nitong Miyerkoles para sa  kaniyang planong 15-event ng ""American Comeback Tour"" sa mga campus college sa US.—mula sa ulat ng Reuters/FRJGMA Integrated News",https://www.gmanetwork.com/news/balitambayan/pinoyabroad/958991/22-anyos-na-suspek-sa-pagpatay-kay-charlie-kirk-sa-utah-usa-nadakip-na/story/,real
GMA NEWS,UN overwhelmingly endorses two-state solution declaration that condemns Hamas,"UNITED NATIONS - The United Nations General Assembly on Friday overwhelmingly voted to endorse a declaration outlining ""tangible, timebound, and irreversible steps"" towards a two-state solution between Israel and the Palestinians ahead of a meeting of world leaders. The seven-page declaration is the result of an international conference at the UN in July - hosted by Saudi Arabia and France - on the decades-long conflict. The United States and Israel boycotted the event. A resolution endorsing the declaration received 142 votes in favor and 10 against, while 12 countries abstained. The vote comes ahead of a meeting of world leaders on September 22 - on the sidelines of the high-level UN General Assembly - where Britain, France, Canada, Australia and Belgium are expected to formally recognize a Palestinian state. The declaration endorsed by the 193-member General Assembly condemns the attacks against Israel by Palestinian militants Hamas on October 7, 2023, which triggered the war in Gaza. It also condemns the attacks by Israel against civilians and civilian infrastructure in Gaza, siege and starvation, ""which have resulted in a devastating humanitarian catastrophe and protection crisis."" French Foreign Minister Jean-Noel Barrot said the resolution secured the international isolation of Hamas. Need a wellness break? Sign up for The Boost! Stay up-to-date with the latest health and wellness reads. Please enter a valid email address Your email is safe with us ""For the first time today, the United Nations adopted a text condemning it for its crimes and calling for its surrender and disarmament,"" he said in an X post. The resolution was supported by all Gulf Arab states. Israel and the United States voted against it, along with Argentina, Hungary, Micronesia, Nauru, Palau, Papua New Guinea, Paraguay and Tonga. The declaration endorsed by the resolution says the war in Gaza ""must end now"" and support the deployment of a temporary international stabilization mission mandated by the UN Security Council. The United States described the vote as ""yet another misguided and ill-timed publicity stunt"" that undermined serious diplomatic efforts to end the conflict. ""Make no mistake, this resolution is a gift to Hamas,"" US diplomat Morgan Ortagus told the General Assembly. ""Far from promoting peace, the conference has already prolonged the war, emboldened Hamas and harmed the prospects of peace in both short and long term."" Israel, which has long criticized the UN for not condemning Hamas by name for the October 7 attacks, dismissed the declaration as one-sided and described the vote as theater. ""The only beneficiary is Hamas …When terrorists are the ones cheering, you are not advancing peace; you are advancing terror,"" Israel's UN Ambassador Danny Danon said. The October 7, 2023, Hamas attack on Israel killed 1,200 people, mostly civilians, and about 251 were taken hostage, according to Israeli tallies. More than 64,000 people, also mostly civilians, have since been killed during the war in Gaza, according to local health authorities. —Reuters",https://www.gmanetwork.com/news/topstories/world/958990/un-overwhelmingly-endorses-two-state-solution-declaration-that-condemns-hamas/story/,real
GMA NEWS,"ICC prosecution, nais na masuri ng sariling medical expert ang kalusugan ni Duterte","Hiniling ng prosecution team sa International Criminal Court (ICC) na magkaroon sila ng sariling medical expert upang masuri ang lagay ng kalusugan ni dating Pangulong Rodrigo Duterte matapos sabihin ng panig ng depensa na naging makakalimutin na ito at hindi na rin nakakakilala ng ilang miyembro ng pamilya kaya hindi na kayang humarap sa paglilitis. Nakatakda sanang gawin ng Pre-Trial Chamber I ng ICC sa The Hague ang pagkumpirma sa kaso ni Duterte sa September 23 pero ipinagpaliban dahil sa naturang apela ng depensa. Ang naturang kahilingan ng kampo ng tagausig ay makikita sa public redacted version ng ""Prosecution's Response to the 'Defence Request for an Indefinite Adjournment'"" noong August 28. Inilabas ng ICC ang naturang dokumento noong Setyembre 11, tatlong araw matapos na ianunsyo ang ""limited postponement"" sa confirmation of charges hearing kay Duterte. Upang hadlangan ang kahilingan ng depensa na indefinite adjournment sa mga pagdinig, sinabi ng prosekusyon na kumukonsulta sila sa sarili nilang eksperto upang matukoy kung kaya pa ba ni Duterte na lumahok sa pre-trial proceedings at humarap sa paglilitis. ""The [REDACTED] is expected to provide additional information regarding Mr Duterte's health condition which will further assist the Chamber in its determination of the Defence Request,"" saad sa dokumento. Ipinunto rin ng prosekusyon na hindi sapat na basehan ang mga ulat at opinyon ng mga eksperto ng depensa, at hindi nila ito tinatanggap bilang ganap na katotohanan. ""The Prosecution Expert should be provided with the same records, documentation, and any other relevant information that was made available to the Defence Experts,"" dagdag nito. ipinagpaliban ng ICC Pre-Trial Chamber I ang nakatakdang pagdinig para sa kumpirmasyon ng mga kaso laban kay Duterte sa Setyembre 23 matapos igiit ng kaniyang kampo ng depensa na hindi na kaya ng 80-anyos na dating pangulo na humarap sa paglilitis. Sinabi ng kaniyang abogado na si Nicholas Kaufman, na dapat itigil na ang lahat ng legal na proseso laban kay Duterte dahil wala na itong kakayahan upang maunawaan at makilahok nang maayos sa pagdinig at maipagtanggol pa ang sarili. Ayon kay Kaufman, mahina na ang memorya ni Duterte, hindi na matandaan ang mga impormasyon, at hindi na rin kayang tukuyin ang mga lugar, oras, mga tao-- kahit ang miyembro ng kaniyang pamilya. Pero giit ng panig ng tagausig, dapat magkaroon pa ng mga pagsusuri kay Duterte kung totoo na hindi na niya kayang humarap sa paglilitis. ""An additional medical evaluation of Mr Duterte is necessary because the Prosecution disputes the Defence's position that Mr Duterte is 'not fit to stand trial' and the currently untested findings of the Defence Experts,"" saad sa dokumento. Hiniling din ng prosekusyon sa tribunal na isagawa ang confirmation of charges bago matapos ang 2025. ""The Prosecution accepts that a short adjournment may be necessary, but this should be limited to the time necessary for the Chamber to expeditiously render its decision on Mr Duterte's fitness to stand trial,"" saad sa dokumento. Sa kasalukuyang nakadetine si Duterte sa Hague Penitentiary Institution o sa Scheveningen Prison, kaugnay sa mga kasong crimes against humanity bunsod ng kaniyang giyera kontra-droga, na batay sa opisyal na tala ay 6,000 tao ang namatay. Hinala naman ng mga human rights organization, posibleng nasa 30,000 ang nasawi sa war on drug, kasama na ang mga hindi naireport na kaso ng pagpatay. Healthy and strong? Sa isang ulat naman ni Saleema Refran sa GMA News ""24 Oras"" nitong Biyernes, ipinakita ang video ni dating presidential spokesperson Harry Roque nang kumustahin niya sa anak ni Duterte na si Kitty, ang kalagayan ng dating pangulo. “How is he specifically? The court cancelled the confirmation because he’s not fit to stand trial, we want to know how he is physically and otherwise?” saad ni Roque sa video post sa Facebook noong September 9. “I cannot delve into that. I’d like to reiterate that we were advised to refrain from sharing information about our visits with him, and all I can assure you is that he is alive and well…” tugon ni Kitty matapos na dumalaw sa ama. “But he seems healthy?” tanong uli ni Roque. “Yes,” sagot ni Kitty. “And strong?,” sabi pa muli ni Roque. “Yes,” ayon naman kay Kitty. Sinabi pa ni Kitty na, “no reason to worry but as I said, I cannot discuss.” --mula sa ulat ni Vince Angelo Ferreras/FRJGMA Integrated News",https://www.gmanetwork.com/news/balitambayan/balita/958989/icc-prosecution-nais-na-masuri-ng-sariling-medical-expert-ang-kalusugan-ni-duterte/story/,real
GMA NEWS,Student beep card launch postponed,"The Department of Transportation (DOTr) has postponed the launching of the student beep cards on September 15. “Kailangan lang po naming mag-recalibrate ng system based sa aming initial assessment, para masigurong walang magiging problema sa pag-aapply ng mga estudyante para sa kanilang white beep cards,” the department said in a statement on Friday. (We just need to recalibrate the system based on our initial assessment to ensure there will be no problems with students applying for their white beep cards.) “We sincerely apologize for the inconvenience, and we assure everyone that we are working hard to resolve these system issues within the month.” The student beep card will give commuting students a 50% discount on their rides on Metro Manila’s rail lines and can be renewed every school year. Students must only present a valid student ID or registration form to avail of the card. ""In the meantime, the 50% train fare discount for students will continue using single journey tickets. Senior citizens and PWDs, meanwhile, may continue to use their existing white beep cards to avail of the 50% discount,"" the DOTr said. —Vince Angelo Ferreras/VBL, GMA Integrated News",https://www.gmanetwork.com/news/topstories/metro/958988/student-beep-card-launch-postponed/story/,real
GMA NEWS,ICC prosecutor opposes Duterte's renewed request for interim release,"The Office of the Prosecutor of the International Criminal Court (ICC) has opposed the ""renewed request for interim release"" of former President Rodrigo Duterte from detention in The Hague. In its submission to the Pre Trial Chamber 1 dated August 28 and released on September 12, Deputy Prosecutor Mame Mandiaye Niang asked the court to ""reject"" the defense's request, saying, ""The continued detention of Mr Duterte remains necessary."" ""The Prosecution refers the Chamber to its previous submissions in its Response to the Defence’s Initial Request for Interim Release regarding why Mr Duterte’s continued detention is necessary to ensure his appearance at trial, to ensure that he does not obstruct or endanger the investigation or court proceedings, and to prevent him from continuing with the commission of crimes or related crimes which are within the jurisdiction of the International Criminal Court and which arise out of the same circumstances,"" the prosecutor said. According to the redacted document, there have been several events that ""exemplify"" why Duterte’s continued detention remains necessary, citing for one, ""continued attempts by Mr Duterte’s family to delegitimise the proceedings before this Court."" ""For example, on 19 July 2025, Sara Duterte, the current Vice President of the Philippines, spoke in front of a crowd in The Hague and was interviewed afterwards. During this event, she repeated the claim that Mr Duterte was 'kidnapped' by the ICC and stated that it was 'illegal' to bring him to the Court. She also told supporters, supposedly in jest, that she had discussed breaking Mr Duterte out of the ICC Detention Unit with a colleague,"" the prosecutor said. ""Also on 19 July 2025, while making a speech on the front steps of the ICC, Sara Duterte falsely claimed that the ICC was 'colluding' with the Government of the Philippines, which was paying for 'fake witnesses' in the case against her father,"" the prosecutor added. The prosecution also highlighted Duterte's intention to return to his hometown Davao, ""the same city where he reportedly pledged to 'double' the killings the 'moment [he] return[s]' if elected Mayor."" Need a wellness break? Sign up for The Boost! Stay up-to-date with the latest health and wellness reads. Please enter a valid email address Your email is safe with us Duterte won mayor of Davao City in the May 2025 elections. ""These examples demonstrate a pattern of the Duterte family refusing to accept the legitimacy of the legal proceedings against Mr Duterte and should militate against granting his interim release,"" the document stated. It also said that Duterte's release would ""provide him with greater access to his associates and family who are actively attempting to interfere with the proceedings against him, including through [REDACTED]."" ""The [REDACTED], [REDACTED], and Mr Duterte’s [REDACTED], place [REDACTED] at serious risk,"" it added. The Prosecution said it would also ""strongly oppose any application for Mr Duterte to attend the confirmation hearing remotely and notes with concern the Defence’s contradictory submissions that Mr Duterte could waive his right to appear at the confirmation hearing while simultaneously claiming that he is not competent to stand trial."" ""None of the Defence’s submissions that Mr Duterte’s fitness nullifies the potential risks enumerated under article 58(1)(b) of the Statute are supported by the Defence Reports. Counsel for the Defence states that Mr Duterte’s [REDACTED]. Counsel further states that Mr Duterte’s [REDACTED] mean that he does not “[REDACTED] necessary to formulate and execute the continued commission of crimes”. None of these conclusions are findings of the Defence Reports. They are extrapolations by Counsel who do not possess the expertise to make such conclusions,"" the prosecution added. Facing charges of crimes against humanity in connection with the killings under his war on drugs when he was mayor of Davao City and when he was president, Duterte was originally set to appear in a hearing set on September 23. But the ICC, on September 8, postponed the commencement of the confirmation hearing following a request from the defense team for an indefinite adjournment of the proceedings alleging that Duterte was not fit to stand trial.—LDF, GMA Integrated News",https://www.gmanetwork.com/news/topstories/nation/958985/icc-prosecutor-rejects-duterte-s-renewed-request-for-interim-release/story/,real
