source,title,content,link,label
The Adobo Chronicles,Legislation,"In a plot twist worthy of a teleserye, certain senators have magically decided that due process is so passé—especially when it comes to the impeachment trial of Sara Duterte. With the subtlety of a bulldozer in a tiangge, covert moves are underway to dismiss the trial faster than a session adjournment after lunch. Bravo! But here’s a wild idea: instead of dismissing the trial, why not dismiss the puppeteers behind this constitutional circus? The Filipino people are taking attendance—and guess what? We see you, Senator Spinmaster, and your fellow Defenders of the Dynasty. If the Senate won’t uphold accountability, perhaps it’s time the people gave you a proper dismissal. Yes, senators, class dismiss! And unlike your backdoor deals, this one comes with no exit pass. Bring snacks next time; democracy’s long, but karma has better timing. Senator-Elect Marcoleta runs into ABS-CBN President Karlo Katigbak in an elevator at BGC. Here’s their brief conversation: Rodante Marcoleta:Well, well, if it isn’t the ghost of channel past! Still broadcasting… online, I see. ABS-CBN President Karlo Katigbak:Senator Marcoleta! I didn’t realize elevators accept people who cancel dreams. Marcoleta: Oh please. Dreams? You made more telenovelas than tax payments. Katigbak: We paid taxes! BIR said so! You just preferred teleseryes with government plot twists. Marcoleta: Fair. But admit it — ratings soared after I entered the scene. I practically gave you a new storyline. Katigbak: We called it “The Man Who Cancelled Christmas… and Primetime.” Marcoleta: You have to admire my range. From blocking franchises to starring in public hearings — peak drama! Katigbak: You should try acting. You’re great at pretending to listen. Marcoleta: Touché. But look — the country loves second chances. Even “Ang Probinsyano” had nine lives. Katigbak: So… reconciliation? Marcoleta: Maybe. But only if I get a cameo role — Senator by day, frequency wrecker by night. Katigbak: Fine. But no script rewrites during commercial breaks. *[Elevator dings. They exit together. A new show is born: “Franchise of Our Lives.”]",https://adobochronicles.com/category/legislation/,fake
The Adobo Chronicles,International,"Senator Imee Marcos strutted into the Senate like a triumphant beauty queen — or perhaps more like a pageant judge who never got crowned — declaring with exaggerated pride that she was “present!” on the first day of the 19th Senate’s reconvening. It was a theatrical comeback, timed suspiciously well after her rather awkward snubbing at the gates of Rodrigo Duterte’s hallowed The Hague hideaway, where she was reportedly denied entry like an uninvited tita at a private birthday bash. But never mind the rejection; Imee spun her attendance into a badge of statesmanship, as if simply showing up to work merited applause. Her Senate presence became less a matter of duty and more a political redemption tour. One might even say she traded the ICC’s closed doors for the Senate’s open mic — and she’s determined to remind the nation that even if she can’t see Duterte, she can still be seen.",https://adobochronicles.com/category/international/,fake
The Adobo Chronicles,(Senate) Class Dismissed!,"In a plot twist worthy of a teleserye, certain senators have magically decided that due process is so passé—especially when it comes to the impeachment trial of Sara Duterte. With the subtlety of a bulldozer in a tiangge, covert moves are underway to dismiss the trial faster than a session adjournment after lunch. Bravo! But here’s a wild idea: instead of dismissing the trial, why not dismiss the puppeteers behind this constitutional circus? The Filipino people are taking attendance—and guess what? We see you, Senator Spinmaster, and your fellow Defenders of the Dynasty. If the Senate won’t uphold accountability, perhaps it’s time the people gave you a proper dismissal. Yes, senators, class dismiss! And unlike your backdoor deals, this one comes with no exit pass. Bring snacks next time; democracy’s long, but karma has better timing.  MANILA, Philippines (The Adobo Chronicles ) - The Philippines' Senate Electoral Tribunal (SET) today dismissed the disqualification case filed against Senator Grace Poe. The case stemmed from allegations that Poe is not a natural-born citizen by virtue of being a foundling, and that she had previously renounced her Filipino citizenship when she… In ""Government"" Senator Bato de la Rosa has dismissed calls to inhibit himself from the Senate hearing on Rodrigo Duterte’s War on Drugs. He says, he will participate both as an interpolator and a resource person. The Adobo Chronicles has obtained part of future transcript of the next scheduled Senate hearing: SENATOR… In ""Law Enforcement"" MANILA, Philippines (The Adobo Chronicles, Manila Bureau) - What’s bad for the goose is bad for the gander. At a recent Senate hearing on “fake news,” Senator Kiko Pangilinan admonished resource person R.J. Nieto (a.k.a. Thinking PInoy) that because he is now a consultant with the Department of Foreign Affairs, he… In ""Government""",https://adobochronicles.com/2025/06/04/senate-class-dismissed/,fake
The Adobo Chronicles,Imee Marcos’ Great Redemption,"Senator Imee Marcos strutted into the Senate like a triumphant beauty queen — or perhaps more like a pageant judge who never got crowned — declaring with exaggerated pride that she was “present!” on the first day of the 19th Senate’s reconvening. It was a theatrical comeback, timed suspiciously well after her rather awkward snubbing at the gates of Rodrigo Duterte’s hallowed The Hague hideaway, where she was reportedly denied entry like an uninvited tita at a private birthday bash. But never mind the rejection; Imee spun her attendance into a badge of statesmanship, as if simply showing up to work merited applause. Her Senate presence became less a matter of duty and more a political redemption tour. One might even say she traded the ICC’s closed doors for the Senate’s open mic — and she’s determined to remind the nation that even if she can’t see Duterte, she can still be seen. ",https://adobochronicles.com/2025/06/02/imee-marcos-great-redemption/,fake
The Adobo Chronicles,"End Of An Era, err, of an Elon","LONDON, The United Kingdom (The Adobo Chronicles, London Bureau) - When Elon Musk decided to rebrand Twitter as “X,” he was confident his social media platform would be the only company in the world named as such. Boy, was he wrong. British scientists are now developing vaccines against a new… In ""Business"" We’re heard stories about this former top communications officer for former President Rodrigo Roa Duterte, you know those alleged DDS vlogger and troll payouts from China. Now, we can all stop the speculation. Here, straight from the horse’s month is Martin Andanar in China! https://fb.watch/sJK_vNRj3-/? In ""International"" SAN FRANCISCO, California (The Adobo Chronicles, San Francisco Bureau) - Enough with online debate. Forget the cage fight. It’s time to seriously crown the world’s Social Media King! After back-and-forth exchanges defending their respective social media platforms, Elon Musk and Mark Zuckerberg have agreed to once and for all prove… In ""Social Media""",https://adobochronicles.com/2025/05/30/end-of-an-era-err-of-an-elon/,fake
The Adobo Chronicles,Donald Trump’s Golden Dome Over The U.S.,"APRA HARBOR, Guam (The Adobo Chronicles, Manila Bureau) - In an effort to project himself as tough on terrorism and an expert on foreign policy, Republican presidential frontrunner Donald Trump has sharply criticized today's announcement by President Barack Obama that he has ordered the total closure of the U.S. military facility in… In ""Government"" WASHINGTON, D.C. (The Adobo Chronicles) - Donald Trump has personally apologized to Philippine President Rodrigo Duterte over the big controversy surrounding the U.S. President’s signing of the 2020  Appropriations  Acts. Trump apparently signed the voluminous bill documents without realizing they included a provision  that would deny entry into the U.S. of… In ""Government"" WASHINGTON, D.C. (The Adobo Chronicles, Washington Bureau) - President Donald Trump has suggested sending the US Army over the border into Mexico to “wage war” on drug cartels in a typically bombastic tweet. The US President said his country stood “ready, willing & able to get involved and do the job quickly… In ""Government""",https://adobochronicles.com/2025/05/30/donald-trumps-golden-dome-over-the-u-s/,fake
The Adobo Chronicles,Senator Bato Confirms Harry Roque’s Second Passport Is Authentic!," MANILA, Philippines — May 27, 2025 — In what may be the most airtight forensic analysis since “nasaan ang Pangulo?”, Senator Ronald “Bato” dela Rosa has come forward to confirm the authenticity of former Presidential Spokesperson Harry Roque’s alleged second passport. Roque recently took to social media to post a dramatic flat-lay of his cancelled Philippine passport, seemingly in response to swirling rumors that he holds multiple valid passports. The photo, taken under soft lighting and beside a cup of barako coffee, showed a passport with a clear perforation—standard in invalidated documents. “Authentic ‘yan kasi may butas!” Senator Bato declared in an exclusive interview with The Adobo Chronicles, pausing dramatically before adding, “Eh di ba lahat ng totoo, may butas din?” Pressed on whether the presence of a hole necessarily proves the passport’s authenticity and not, say, a hole punch from National Bookstore, Bato replied, “Ang sindikato ba marunong magbutas? I don’t think so.” Political analysts are baffled but entertained. “This could be a new legal standard in the Philippines,” said Atty. Marupok Salvador. “We’re moving from ‘innocent until proven guilty’ to ‘authentic basta may butas.’” Meanwhile, Roque has yet to clarify whether he was flexing his expired passport in defense, distraction, or simply nostalgia. “This was the passport I used in The Hague,” he posted, as netizens speculated whether the “second passport” was hidden behind the first in the photo like a Russian nesting doll. As of press time, DFA has neither confirmed nor denied the existence of a second, third, or fourth Roque passport. However, an anonymous source hinted that the agency is now considering a new watermark for authentic documents: Senator Bato’s thumbs-up. Stay tuned as The Adobo Chronicles investigates whether multiple passports make you a citizen or just really bad at renewing on time. In the theater of absurdity that is the defense of Rodrigo Duterte against ICC charges, it seems some key players are confusing the script.  While the rest of us are waiting for the curtain to rise on a fair trial, former Duterte spokesperson Harry Roque and Senator Ronald ""Bato"" are… In ""International"" Atty. Harry Roque, once the mouthpiece of a former president, has now magically transformed into a self-styled oracle, complete with cryptic predictions and murky insights. Who knew that a legal career could so seamlessly pivot to crystal-ball gazing? Roque, who once defended the indefensible with a straight face, now regales… In ""Gaming"" MANILA, Philippines (The Adobo Chronicles, Manila Bureau) - CNN Philippines is reporting that according to House Speaker Pantaleon Alvarez, Mocha Uson and Harry Roque are running for senator in 2019.  Both have reportedly been included in the ruling Partido Demokratiko Pilipino-Lakas ng Bayan (PDP-Laban) 2019 senatorial lineup. Upon hearing the news,… In ""Politics""",https://adobochronicles.com/2025/05/27/senator-bato-confirms-harry-roques-send-passport-is-authentic/,fake
The Adobo Chronicles,Today’s Editorial Cartoon,"by Steven Pabalinas In ""International"" by Steven Pabalinas In ""International"" By Steven Pabalinas In ""International""",https://adobochronicles.com/2025/05/27/todays-editorial-cartoon-40/,fake
The Adobo Chronicles,Ang Bastonero," Mukhang nalilito na si Pangulong Bongbong Marcos sa estado ng kanyang pagkakaibigan kay VP Sara Duterte.  Sa gitna ng mga pahayag ni VP na hindi na raw sila magkaibigan, ang tanong ni Marcos ay simpleng “Nabudol ba ako?”  Talaga nga namang nakakalungkot isipin na kahit ang isang presidente ay hindi… In ""Government"" MANILA, Philippines (The Adobo Chronicles, Tagalog edition) - Naaalala nyo pa ba noong minura ni Pangulong Duterte ang aktor na si Gabby Concepcion at sinabing mukhang pera talaga ang taong yon? Puwes, alam nating lahat na hindi si Concepcion ang ibig sabihin in DU30, kundi si Gabby Lopez ng ABS-CBN Ngayon naman, napabalitang… In ""Entertainment"" MANILA, Philippines (The Adobo Chronicles, Manila Bureau) - MANILA - A major shakeup of Philippine media is in the offing, as business tycoon Ramon Ang announced that he will buy The Philippine Daily Inquirer from the Prieto family and Rappler from Maria Ressa. The two media companies have been accused of… In ""Business""",https://adobochronicles.com/2025/05/26/ang-bastonero/,fake
The Adobo Chronicles,Senator Bong Revilla’s Resbak,"Senator Bong Revilla, famed thespian of both action movies and plunder trials, has now declared his next heroic mission: hunting down the netizens who allegedly sabotaged his election dreams. Apparently, it wasn’t the ghost of PDAF past or his courtroom cameos that hurt his campaign—it was TikTok memes and spicy Facebook comments. Armed with a sword of justice and a VFX-heavy budget, he’s gearing up for Bong vs. Keyboard Warriors: The Sequel Nobody Asked For. One can only imagine him scrolling through Twitter, shouting “Aha!” every time someone posts, “Bakit siya tumakbo uli?” The senator says he’s seeking accountability, but some suspect he’s just mad he can’t block voters in real life. Meanwhile, social media users are scrambling—not out of fear, but to make popcorn. Because when politics meets petty, and memes become a threat to democracy, you know you’re living in peak Philippine satire.",https://adobochronicles.com/2025/05/26/senator-bong-revillas-resbak/,fake
